url,code_http,taille_octets,content_type,title,nb_h1,lang,temps_total_s,redirection
https://www.syntheticswarm.ai/,200,34369,text/html; charset=utf-8,Insurance prospecting | Synthetic Swarm,1,en,0.480859,
https://www.syntheticswarm.ai/index-fr,200,35604,text/html; charset=utf-8,Prospection en assurance | Synthetic Swarm,1,fr,0.516488,
https://www.syntheticswarm.ai/our-solution,200,18123,text/html; charset=utf-8,Our solution | Synthetic Swarm,1,en,0.338790,
https://www.syntheticswarm.ai/notre-solution,200,18682,text/html; charset=utf-8,Notre solution | Synthetic Swarm,1,fr,0.312672,
https://www.syntheticswarm.ai/pricing,200,11899,text/html; charset=utf-8,Pricing | Synthetic Swarm,1,en,0.218019,
https://www.syntheticswarm.ai/tarifs,200,12230,text/html; charset=utf-8,Tarifs | Synthetic Swarm,1,fr,0.261078,
https://www.syntheticswarm.ai/faq,200,14597,text/html; charset=utf-8,FAQ | Synthetic Swarm,1,en,0.231030,
https://www.syntheticswarm.ai/faq-fr,200,15036,text/html; charset=utf-8,FAQ | Synthetic Swarm,1,fr,0.196177,
https://www.syntheticswarm.ai/about,200,11806,text/html; charset=utf-8,About | Synthetic Swarm,1,en,0.400583,
https://www.syntheticswarm.ai/a-propos,200,12317,text/html; charset=utf-8,À propos | Synthetic Swarm,1,fr,0.352982,
https://www.syntheticswarm.ai/careers,200,13629,text/html; charset=utf-8,Careers | Synthetic Swarm,1,en,0.196894,
https://www.syntheticswarm.ai/recrutement,200,14243,text/html; charset=utf-8,Recrutement | Synthetic Swarm,1,fr,0.313812,
https://www.syntheticswarm.ai/contact,200,10898,text/html; charset=utf-8,Contact | Synthetic Swarm,1,en,0.241648,
https://www.syntheticswarm.ai/contact-fr,200,11095,text/html; charset=utf-8,Contact | Synthetic Swarm,1,fr,0.289458,
https://www.syntheticswarm.ai/customers,200,8093,text/html; charset=utf-8,Customers | Synthetic Swarm,1,en,0.178217,
https://www.syntheticswarm.ai/clients,200,8354,text/html; charset=utf-8,Nos clients | Synthetic Swarm,1,fr,0.257085,
https://www.syntheticswarm.ai/media,200,8213,text/html; charset=utf-8,Media | Synthetic Swarm,1,en,0.229456,
https://www.syntheticswarm.ai/medias,000,0,,Media | Synthetic Swarm,1,en,25.002086,
https://www.syntheticswarm.ai/legal-notice,200,7526,text/html; charset=utf-8,Legal Notice | Synthetic Swarm,1,en,0.521067,
https://www.syntheticswarm.ai/mentions-legales,200,7705,text/html; charset=utf-8,Mentions légales | Synthetic Swarm,1,fr,0.265233,
https://www.syntheticswarm.ai/privacy,200,8478,text/html; charset=utf-8,Privacy policy | Synthetic Swarm,1,en,0.246003,
https://www.syntheticswarm.ai/confidentialite,200,8907,text/html; charset=utf-8,Politique de confidentialité | Synthetic Swarm,1,fr,0.168483,
https://www.syntheticswarm.ai/terms,200,12604,text/html; charset=utf-8,Terms and Conditions of Sale | Synthetic Swarm,1,en,0.246886,
https://www.syntheticswarm.ai/conditions,200,13567,text/html; charset=utf-8,Conditions générales de vente | Synthetic Swarm,1,fr,0.295168,
https://www.syntheticswarm.ai/opt-out,200,7818,text/html; charset=utf-8,Opt out | Synthetic Swarm,1,en,0.258875,
https://www.syntheticswarm.ai/opposition,200,8044,text/html; charset=utf-8,Droit d’opposition | Synthetic Swarm,1,fr,0.183278,
